S.NO.,TXN DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BOOKING AMOUNT",CREDITED ON,"CUST.ACC.NO.",REMARKS
1,02-Apr-2024,100004890780517,144654877186052,382.7,03-Apr-2024,4132,
2,02-Apr-2024,100004890911157,114924877190887,128.15,03-Apr-2024,1897,
3,02-Apr-2024,100004890777586,191551877192451,454.05,03-Apr-2024,9517,
4,02-Apr-2024,100004890796603,401610877196931,118.15,03-Apr-2024,1897,
5,02-Apr-2024,100004891046205,103072877199556,360.85,03-Apr-2024,9517,
6,02-Apr-2024,100004890981315,135888877202494,500,03-Apr-2024,6633,
7,02-Apr-2024,100004890786679,967645877204863,360.85,03-Apr-2024,9517,
8,02-Apr-2024,100004890915361,112728877204698,1825.4,03-Apr-2024,1217,
9,02-Apr-2024,100004890945331,984817877208563,2135.4,03-Apr-2024,8615,
10,02-Apr-2024,100004890945372,189085877212880,1845.4,03-Apr-2024,8615,
11,02-Apr-2024,100004891109275,190465877213125,147.7,03-Apr-2024,8827,
12,02-Apr-2024,100004891061394,530814877216771,2276.3,03-Apr-2024,1422,
13,02-Apr-2024,100004891049370,714855877222289,1356.3,03-Apr-2024,2564,
14,02-Apr-2024,100004890936454,172935877225366,368.6,03-Apr-2024,7180,
15,02-Apr-2024,100004891057449,180861877230534,2395.4,03-Apr-2024,0093,
16,02-Apr-2024,100004890936510,821846877232186,598.6,03-Apr-2024,7180,
17,02-Apr-2024,100004891033553,145184877235487,1586.3,03-Apr-2024,1422,
18,02-Apr-2024,100004890907875,153595877289434,187.7,03-Apr-2024,5351,
19,02-Apr-2024,100004890993976,167559877297533,1795.85,03-Apr-2024,7698,
20,02-Apr-2024,100004891036850,148185877306376,2655.4,03-Apr-2024,1760,
21,02-Apr-2024,100004891184435,968573877308380,343.15,03-Apr-2024,1281,
22,02-Apr-2024,100004891213374,124002877312596,1685.4,03-Apr-2024,1336,
23,02-Apr-2024,100004891184476,182685877312918,338.15,03-Apr-2024,1281,
24,02-Apr-2024,100004891337006,178873877319026,2655.4,03-Apr-2024,1760,
25,02-Apr-2024,100004891103958,195207877321408,338.15,03-Apr-2024,1281,
26,02-Apr-2024,100004891265130,765049877324748,1685.4,03-Apr-2024,1336,
27,02-Apr-2024,100004891064001,119142877326802,3645.4,03-Apr-2024,6011,
28,02-Apr-2024,100004891171560,122117877328558,1978.6,03-Apr-2024,4999,
29,02-Apr-2024,100004891217532,103400877330566,1025.85,03-Apr-2024,3875,
30,02-Apr-2024,100004891217546,370930877333484,1635.85,03-Apr-2024,3875,
31,02-Apr-2024,100004891196665,369727877338922,998.15,03-Apr-2024,4999,
32,02-Apr-2024,100004891314214,104463877345052,998.15,03-Apr-2024,4999,
33,02-Apr-2024,100004891318284,196762877363465,2655.85,03-Apr-2024,2279,
34,02-Apr-2024,100004891292372,184530877365626,242.7,03-Apr-2024,4985,
35,02-Apr-2024,100004891222699,496114877369625,5000,03-Apr-2024,8122,
36,02-Apr-2024,100004891344446,681158877396043,775.85,03-Apr-2024,3378,
37,02-Apr-2024,100004891336508,152982877402668,900.85,03-Apr-2024,0345,
38,02-Apr-2024,100004891185941,154627877404074,2104.05,03-Apr-2024,7711,
39,02-Apr-2024,100004891380029,125058877409596,775.85,03-Apr-2024,2402,
40,02-Apr-2024,100004891262666,201211877418935,765.4,03-Apr-2024,7577,
41,02-Apr-2024,100004891363096,122333877420759,2660.4,03-Apr-2024,6731,
42,02-Apr-2024,100004891247789,596968877423246,765.4,03-Apr-2024,7577,
43,02-Apr-2024,100004891380082,570974877423669,775.85,03-Apr-2024,2402,
44,02-Apr-2024,100004891284680,101015877425088,117.7,03-Apr-2024,6482,
45,02-Apr-2024,100004891363163,137768877431078,358.15,03-Apr-2024,6731,
46,02-Apr-2024,100004891295763,925384877434824,263.15,03-Apr-2024,8418,
47,02-Apr-2024,100004891380133,174554877434253,1426.3,03-Apr-2024,2402,
48,02-Apr-2024,100004891272844,204708877434134,870.85,03-Apr-2024,1672,
49,02-Apr-2024,100004891284774,677161877439971,162.7,03-Apr-2024,6482,
50,02-Apr-2024,100004891371193,161804877440367,328.15,03-Apr-2024,9517,
51,02-Apr-2024,100004891371232,111810877447054,358.15,03-Apr-2024,6731,
52,02-Apr-2024,100004891354780,556663877470135,192.7,03-Apr-2024,5554,
53,02-Apr-2024,100004891347862,117327877472234,3680.4,03-Apr-2024,8827,
54,02-Apr-2024,100004891329986,149205877485749,540.85,03-Apr-2024,1280,
55,02-Apr-2024,100004891347977,820190877489883,1585.4,03-Apr-2024,8827,
56,02-Apr-2024,100004891373510,502483877495922,5477.7,03-Apr-2024,7294,
57,02-Apr-2024,100004891414504,135731877507199,730.4,03-Apr-2024,8266,
58,02-Apr-2024,100004891535105,648863877513757,5735.4,03-Apr-2024,0133,
59,02-Apr-2024,100004891450368,130825877517203,454.05,03-Apr-2024,0227,
60,02-Apr-2024,100004891418562,198386877523020,715.4,03-Apr-2024,4132,
61,02-Apr-2024,100004891418592,722511877526986,412.7,03-Apr-2024,4132,
62,02-Apr-2024,100004891532319,182050877530728,992.7,03-Apr-2024,8827,
63,02-Apr-2024,100004891556056,193801877552647,262.7,03-Apr-2024,2860,
64,02-Apr-2024,100004891469824,507170877567606,272.7,03-Apr-2024,0393,
65,02-Apr-2024,100004891427940,215114877571257,765.85,03-Apr-2024,9644,
